시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
동두천시,요석공주별궁지,경기도 동두천시 상봉암동 산1-1번지,031-860-2064,2021-03-05,,
김포시,갑곶나루선착장,경기도 김포시 월곶면 성동리 271-22,031-980-2741,2021-03-05,,
시흥시,시흥 방산동 청자와 백자 요지,경기도 시흥시 방산동 370-1외,031-310-2936,2021-03-05,,
김포시,월곶면민만세운동유적비,경기도 김포시 월곶면 김포대로 2857-39,031-980-5345,2021-03-05,,
광주시,개원사지,경기도 광주시 남한산성로 731-73,031-741-8829,2021-03-05,,
동두천시,이태조행궁지,경기도 동두천시 상봉암동 산1-1번지,031-860-2064,2021-03-05,,
고양시,벽제관지,경기도 고양시 덕양구 벽제관로 34-16,031-8075-3396,2021-03-05,,
용인시,용인 고안리 분청사기도요지,경기도 용인시 처인구 고안로51번길 112-37,031-324-2147,2021-03-05,,
하남시,현충탑,경기도 하남시 창우동 461-9,031-790-6114,2021-03-05,,
파주시,정태진 기념관,경기도 파주시 쇠재로 33,031-940-4391,2021-03-05,,
이천시,이천 신대리 백송,경기도 이천시 백사면 신대리 산32번지 외 7필,031-644-2114,2021-03-05,,
이천시,안흥지 애련정,경기도 이천시 안흥동 404,031-644-2114,2021-03-05,,
이천시,반룡송,경기도 이천시 백사면 도립리 201-1,031-644-2114,2021-03-05,,
이천시,도립리 육괴정,경기도 이천시 백사면 도립리 735,031-644-2114,2021-03-05,,
연천군,연천심원사지,경기도 연천군 신서면 동내로970번길 32-268,031-839-2061,2021-03-05,,
광주시,망월사지,경기도 광주시 중부면 남한산성로 680,031-747-3312,2021-03-05,,
여주시,고달사지,경기도 여주시 북내면 상교리 411-1,031-887-3587,2021-03-05,,
양평군,용문사 은행나무,경기도 양평군 용문면 신점리 626-1,031-770-2471,2021-03-05,,
양평군,세심정,경기도 양평군 용문면 덕촌리 산 137,031-770-2474,2021-03-05,,
양주시,양주관아지,경기도 양주시 부흥로 1399번길 15,031-845-3134,2021-03-05,,
양주시,회암사지,경기도 양주시 회암사길 11,031-8082-4187,2021-03-05,,
안성시,박두진시비,경기도 안성시 보개면 종합운동장로 203,031-677-1330,2021-03-05,,
안성시,최규서어서각,경기도 안성시 원곡면 만리길 35,031-677-1330,2021-03-05,,
안성시,서흥김씨삼강정여문,경기도 안성시 고삼면 월향리 산96,031-678-2504,2021-03-05,,
안성시,입사장,경기도 안성시 보개면 기좌리 257,031-676-2592,2021-03-05,,
시흥시,관곡지,경기도 시흥시 하중동 208,031-310-6223,2021-03-05,,
파주시,반구정,경기도 파주시 문산읍 반구정로 85번길 3,031-940-5831,2021-03-05,,
가평군,조종암,경기도 가평군 하면 대보간선로 399,031-585-1281,2021-03-05,,
과천시,온온사,경기도 과천시 관악산길 58,02-3677-2066,2021-03-05,,
파주시,화석정,경기도 파주시 파평면 화석정로 152-72,031-940-5831,2021-03-05,,
안산시,사세충렬문,경기도 안산시 단원구 와동 151,031-481-3437,2021-03-05,,
고양시,국립여성사전시관,"경기도 고양시 덕양구 화중로 104번길 50 (정부고양지방합동청사 1, 2층)",031-819-2288,2021-03-05,,
안성시,안성객사,경기도 안성시 보개면 종합운동장로 205,031-678-2502,2021-03-05,,
양주시,금화정,경기도 양주시 부흥로 1399번길 15,,2021-03-05,,
여주시,영월루,경기도 여주시 주내로 13,031-887-3563,2021-03-05,,
남양주시,다산유적지,경기도 남양주시 조안면 다산로747번길 11,031-590-2837,2021-03-05,,
군포시,방짜유기 전수교육관,경기도 군포시 송부로 12,031-390-0666,2021-03-05,,
연천군,은대리 물거미서식지,경기도 연천군 전곡읍 은대리 693-18 일원,031-839-2061,2021-03-05,,
연천군,연천급수탑,경기도 연천군 연천읍 연천로 273-7,031-839-2061,2021-03-05,,
평택시,팽성읍객사,경기도 평택시 동서촌로 101-3,031-8024-5620,2021-03-05,,
포천시,금수정,경기도 포천시 창수면 오가리 546,031-532-5015,2021-03-05,,
하남시,하남 동사지,경기도 하남시 서하남로418번길 73,031-790-5572,2021-03-05,,
하남시,하남시상사창동연자마,경기도 하남시 상사창동 346-2,031-790-5116,2021-03-05,,
화성시,제암리 3·1운동순국기념관,경기도 화성시 향남읍 제암길 50,031-369-1663,2021-03-05,,
가평군,적목리 신앙유적지,경기도 가평군 북면 적목리 산1-28,031-580-2114,2021-03-05,,
안산시,오정각,경기도 안산시 화정동 29,031-481-3437,2021-03-05,,
고양시,두루미(단정학),경기도 고양시 일산동구 호수로 731,,2021-03-05,,
고양시,원흥동 신라말 고려초기 청자요,경기도 고양시 덕양구 원흥동 산88,031-961-2201,2021-03-05,,
광주시,광주조선백자도요지,경기도 광주시 남종면 산수로 1642-1,031-760-2541,2021-03-05,,
동두천시,어유소장군생가,경기도 동두천시 지행동 255-4,031-860-2064,2021-03-05,,
고양시,북한산 중흥사지,경기도 고양시 덕양구 대서문길 393,,2021-03-05,,
양주시,임꺽정생가터,경기도 양주시 유양동 576-1　,,2021-03-05,,
안성시,안성정무공오정방고택,경기도 안성시 양성면 덕봉길 68-14,031-678-2502,2021-03-05,,
양평군,화서이항로생가,경기도 양평군 서종면 화서1로 239,031-774-5326,2021-03-05,,
양평군,김병호 고가,경기도 양평군 용문면 오촌리 181번지,031-770-2473,2021-03-05,,
여주시,여주김영구가옥,경기도 여주시 대신면 보통리,,2021-03-05,,
여주시,명성황후생가,경기도 여주시 여주읍 명성로 71,031-881-9730,2021-03-05,,
고양시,일산밤가시초가,경기도 고양시 일산동구 햇살로105번길 36-7,031-908-6776,2021-03-05,,
의정부시,서계 박세당 사랑채,경기도 의정부시 동일로128번길 36,031-828-2156,2021-03-05,,
이천시,어재연장군생가,경기도 이천시 율면 일생로 897번길 22-47,031-644-2114,2021-03-05,,
평택시,민세안재홍생가,경기도 평택시 고덕면 계루지1길 7,031-665-3365,2021-03-05,,
하남시,유진오박사 생가터,경기도 하남시 상산곡동 512-2번지,031-795-1020,2021-03-05,,
성남시,수내동가옥,경기도 성남시 분당구 성남대로 550,031-756-1082,2021-03-05,,
시흥시,생금집,경기도 시흥시 죽율로 45-32,031-310-6702,2021-03-05,,
남양주시,여경구가옥,경기도 남양주시 진접읍 금강로 961번길 25-14,031-544-4058,2021-03-05,,
남양주시,궁집,경기도 남양주시 평내로 9,031-1600-0064,2021-03-05,,
남양주시,다산정약용생가,경기도 남양주시 조안면 다산로 747번길 11,031-576-9300,2021-03-05,,
성남시,봉국사 목조아미타여래좌상,경기도 성남시 수정구 태평로 79,,2021-03-05,,
용인시,약천남구만 묘소,경기도 용인시 처인구 모현읍 초부리 90-7,,2021-03-05,,
용인시,장욱진 가옥,경기도 용인시 기흥구 마북로 119-8 화가장욱진고택,031-283-1911,2021-03-05,,
용인시,용인 한산이씨 음애공파고택,"경기도 용인시 기흥구 지삼로198번길 30-4 (지곡동, 음애이자선생고택)",,2021-03-05,,
용인시,용인 서리 고려백자요지,"경기도 용인시 처인구 이동면 중덕로 7, 외 (서리)",,2021-03-05,,
용인시,서봉사 현오국사탑비,경기도 용인시 수지구 신봉동 서봉사지,,2021-03-05,,
용인시,체재공 선생 뇌문비,경기도 용인시 처인구 역북동,,2021-03-05,,
용인시,용인 미평리 약사여래입상,경기도 용인시 처인구 원삼면 미평리,,2021-03-05,,
용인시,모현 지석묘,경기도 용인시 처인구 모현읍 왕산리,,2021-03-05,,
용인시,용덕사 석조여래입상,경기도 용인시 처인구 이동읍 묵리,,2021-03-05,,
용인시,민영환 선생 묘,경기도 용인시 기흥구 마북동,,2021-03-05,,
의왕시,청계사 조정숙공사당기비,경기도 의왕시 청계동11,031-426-2670,2021-03-05,,
의왕시,청계사 사적기비,경기도 의왕시 청계동11,031-426-2670,2021-03-05,,
의왕시,청계사 동종 및 목판,경기도 의왕시 청계동 11,031-429-2670,2021-03-05,,
수원시,항미정,경기도 수원시 권선구 수인로 126(서둔동),,2021-03-05,,
수원시,수원광주이씨고택수원광주이씨고택,경기도 수원시 장안구 파장천로 56-9 (파장동),,2021-03-05,,
수원시,화령전,경기도 수원시 팔달구 신풍로 23번길 15,,2021-03-05,,
수원시,서북공심돈,경기도 수원시 장안구 영화동 372-1,,2021-03-05,,
안성시,3·1운동기념관,경기도 안성시 원곡면 만세로 868,031-678-2475,2021-03-05,,
용인시,양지향교,경기도 용인시 처인구 양지면 향교로13번길 20,031-324-2147,2021-03-05,,
광주시,현절사,경기도 광주시 남한산성로 732-42,031-760-4821,2021-03-05,,
김포시,우저서원,경기도 김포시 중봉로25번길 87,031-985-9692,2021-03-05,,
김포시,통진향교,경기도 김포시 월곶면 군하로 288-21,031-989-4207,2021-03-05,,
고양시,월산대군사당,경기도 고양시 덕양구 호국로 1243-39,031-8075-3390,2021-03-05,,
광주시,청량당,경기도 광주시 중부면 산성리 815-2,031-760-4822,2021-03-05,,
수원시,수원향교,경기도 수원시 팔달구 향교로 107-9,031-228-3643,2021-03-05,,
용인시,충렬서원,경기도 용인시 처인구 모현읍 충렬로 9-19,031-324-2147,2021-03-05,,
용인시,동도사 석불좌상,경기도 용인시 처인구 이동면 어비리 동도사,,2021-03-05,,
고양시,고양향교,경기도 고양시 덕양구 대양로285번길 33-13 (고양동),031-8075-3396,2021-03-05,,
가평군,미군참전기념비,경기도 가평군 북면 이곡리 산 123,031-580-2214,2021-03-05,,
안산시,이익선생묘소,경기도 안산시 상록구 일동 555,031-481-3437,2021-03-05,,
남양주시,순강원,경기도 남양주시 진접읍 내각2로 84-31,031-563-2909,2021-03-05,,
동두천시,삼충단,경기도 동두천시 상패동 894,031-860-2064,2021-03-05,,
광주시,곤지암,경기도 광주시 곤지암읍 곤지암로 72,031-760-4822,2021-03-05,,
광명시,이순신묘,경기도 광명시 일직동 산 26-7,02-2680-6142,2021-03-05,,
고양시,고려공양왕릉,경기도 고양시 덕양구 원당동 산65-6,031-909-9000,2021-03-05,,
포천시,이항복선생묘,경기도 포천시 가산면 금현리 산4-2,031-538-2106,2021-03-05,,
평택시,원균장군묘,경기도 평택시 도일동 산 82,031-659-6018,2021-03-05,,
포천시,충목단,경기도 포천시 소흘읍 소흘로116번길 13,031-538-2106,2021-03-05,,
파주시,윤관장군묘,경기도 파주시 광탄면 혜음로 930,031-947-3330,2021-03-05,,
파주시,신사임당묘,경기도 파주시 법원읍 자운서원로 204,031-958-1749,2021-03-05,,
파주시,이이선생묘,경기도 파주시 법원읍 자운서원로 204,031-958-1749,2021-03-05,,
파주시,성혼선생묘,경기도 파주시 파주읍 향양리 산 8-2,031-940-5831,2021-03-05,,
파주시,허준선생묘,경기도 파주시 진동면 구암로 205,031-940-5831,2021-03-05,,
의정부시,정문부장군묘,경기도 의정부시 산단로132번길 59-17,031-828-4334,2021-03-05,,
연천군,경순왕릉,경기도 연천군 장남면 장남로 288,031-839-2061,2021-03-05,,
구리시,나만갑선생신도비,경기도 구리시 사노동 산163,031-550-2546,2021-03-05,,
남양주시,다산정약용묘,경기도 남양주시 조안면 다산로747번길 11,031-590-2481,2021-03-05,,
남양주시,흥선대원군묘,경기도 남양주시 화도읍 가구단지중앙길 108-19,031-590-2067,2021-03-05,,
안산시,취몽헌 오태주 묘역,경기도 안산시 상록구 대촌길 12-3,031-481-3437,2021-03-05,,
양평군,한음이덕형선생묘,경기도 양평군 양서면 목왕리 산 82-1,031-770-2474,2021-03-05,,
양주시,권율장군묘,경기도 양주시 장흥면 권율로 223,031-8082-4114,2021-03-05,,
안성시,바우덕이묘,경기도 안성시 서운면 성진로 1279-76,031-678-2502,2021-03-05,,
안성시,영창대군묘,경기도 안성시 일죽면 고은리 산24-5,031-678-2502,2021-03-05,,
고양시,최영장군묘,경기도 고양시 덕양구 대자동 산70-2,031-8075-3396,2021-03-05,,
광명시,광명 영회원,경기도 광명시 노온사동 산 141-20,02-2680-6142,2021-03-05,,
광명시,가학동지석묘,경기도 광명시 가학동 산104,02-2680-6142,2021-03-05,,
구리시,명빈묘,경기도 구리시 아천동 산14,031-550-2546,2021-03-05,,
수원시,효원의종,경기도 수원시 팔달구 정조로 825 (남창동),031-228-4669,2021-03-05,,
수원시,동북공심돈,경기도 수원시 장안구 연무동 산21-8,031-228-3643,2021-03-05,,
수원시,팔달문,경기도 수원시 팔달구 정조로 780,,2021-03-05,,
수원시,창성사지 진각국사탑비,경기도 수원시 팔달구 수원천로392번길 372(매향동),,2021-03-05,,
수원시,창룡문,경기도 수원시 팔달구 경수대로 697,031-228-4678,2021-03-05,,
수원시,화홍문,경기도 수원시 팔달구 북수동 420,031-251-4435,2021-03-05,,
수원시,화서문,경기도 수원시 팔달구 장안동 332,031-228-3643,2021-03-05,,
수원시,화성행궁,경기도 수원시 팔달구 정조로 825,031-2287-4410,2021-03-05,,
수원시,방화수류정,경기도 수원시 팔달구 수원천로 392번길 44-6,031-290-3600,2021-03-05,,
수원시,장안문,경기도 수원시 팔달구 정조로 910,031-228-4480,2021-03-05,,
수원시,수원화성,경기도 수원시 팔달구 행궁로 11,031-228-4480,2021-03-05,,
수원시,연무대(동장대),경기도 수원시 팔달구 행궁로 11,031-228-4686,2021-03-05,,
수원시,서장대,경기도 수원시 팔달구 남창동 55-23,,2021-03-05,,
화성시,화성 공룡알화석지,경기도 화성시 송산면 공룡로 659,031-357-3951,2021-03-05,,
포천시,포천영송리선사유적,경기도 포천시 영중면 영송리 158-2,031-538-2106,2021-03-05,,
파주시,덕은리 주거지 및 지석묘군,경기도 파주시 월롱면 옥돌내길 123,031-940-5831,2021-03-05,,
파주시,파주 가월리 및 주월리 구석기유적,"경기도 파주시 적성면 가월리 산95-6외, 주월리 309외",031-940-4354,2021-03-05,,
연천군,전곡선사박물관,경기도 연천군 전곡읍 평화로 443번길 2,031-830-5600,2021-03-05,,
연천군,연천전곡리유적,경기도 연천군 전곡읍 양연로 1510,031-832-2570,2021-03-05,,
부천시,고강동 선사유적지,경기도 부천시 고강동 산 90(고강동),,2021-03-05,,
여주시,흔암리 선사유적,경기도 여주시 점동면 흔암리 산 2-1,031-887-2833,2021-03-05,,
용인시,처인성,경기도 용인시 남사면 아곡리 산43,031-324-3049,2021-03-05,,
광주시,지수당,경기도 광주시 중부면 산성리 124-1,031-760-4821,2021-03-05,,
광주시,연무관,경기도 광주시 중부면 산성리 400-1,031-760-4821,2021-03-05,,
광주시,숭렬전,경기도 광주시 중부면 남한산성로780번길 41-20,,2021-03-05,,
구리시,아차산일대보루군,경기도 구리시 우미내길 50-140,031-550-2546,2021-03-05,,
광주시,남한산성 행궁,경기도 광주시 중부면 남한산성로 784-29,031-760-4821,2021-03-05,,
광주시,남한산성,경기도 광주시 중부면 남한산성로 784-16,031-743-6610,2021-03-05,,
김포시,덕포진,경기도 김포시 대곶면 신안리 산105,031-980-2965,2021-03-05,,
광주시,침괘정,경기도 광주시 남한산성면 남한산성로 784-6,031-760-2721,2021-03-05,,
광주시,수어장대,경기도 광주시 남한산성면 남한산성로780번길 107-65,,2021-03-05,,
용인시,용인할미산성,경기도 용인시 처인구 포곡읍 마성리 산41,031-204-2006,2021-03-05,,
안성시,칠장사,경기도 안성시 죽산면 칠장로 399-18,031-673-0776,2021-03-05,,
안성시,석남사,경기도 안성시 금광면 상촌새말길 3-120,031-676-1444,2021-03-05,,
군포시,정난종선생묘및신도비외묘역일원,경기도 군포시 속달동 산3번지,,2021-03-05,,
군포시,김만기선생묘,경기도 군포시 대야미동 산1-12번지,,2021-03-05,,
군포시,조선 백자 도요지,경기도 군포시 산본동 147,,2021-03-05,,
군포시,전주이씨 안양군묘,경기도 군포시 산본동,,2021-03-05,,
군포시,이기조 선생묘,경기도 군포시 산본동 산1152-11번지,,2021-03-05,,
군포시,동래정씨 동래군파 종가,경기도 군포시 속달동 24-4,,2021-03-05,,
평택시,이대원장군묘및신도비,경기도 평택시 포승읍 희곡리 산 83-6,031-8024-3213,2021-03-05,,
평택시,평택덕목리성지,경기도 평택시 현덕면 덕목리 647-1,031-8024-3213,2021-03-05,,
평택시,정도전선생사당,경기도 평택시 진위면 은산길 80-15,031-8024-3213,2021-03-05,,
평택시,수성군묘및사당,경기도 평택시 독곡동 산 53,031-8024-3213,2021-03-05,,
평택시,신숙주영정및감실주독,경기도 평택시 청북면 고잔리 산 905 고잔묘당,031-8024-3213,2021-03-05,,
평택시,충의각,경기도 평택시 이충동 산 37-1,031-8024-3213,2021-03-05,,
평택시,한온장군충신정문,경기도 평택시 서탄면 금암리 594,031-8024-3213,2021-03-05,,
화성시,향토박물관,경기도 화성시 향남읍 행정동로 96,031-369-3797,2021-03-05,,
화성시,남양성모성지,경기도 화성시 남양성지로 112,031-356-5880,2021-03-05,,
화성시,당성,경기도 화성시 서신면 상안리 산32,031-369-2994,2021-03-05,,
시흥시,김치인 선생 묘,경기도 시흥시 안현동,031-310-6708,2021-03-05,,
가평군,이정구 선생묘,경기도 가평군 상면 태봉리 산115-1,031-585-1557,2021-03-05,,
가평군,이방실 장군묘,경기도 가평군 가평읍 하색리 산81,031-582-3238,2021-03-05,,
가평군,가평지구 전투전적비,경기도 가평군 가평읍 보납로70번길 47-1,,2021-03-05,,
부천시,여월동 선사유적,경기도 부천시 여월동 산59(여월공원 內),,2021-03-05,,
안양시,중초사지 당간지주,경기도 안양시 만안구 석수1동 212-1,,2021-03-05,,
안양시,석수동 마애종,경기도 안양시 만안구 석수동 산 32,,2021-03-05,,
안양시,삼막사 마애삼존불,경기도 안양시 만안구 석수1동 산10-1 (삼막사경내),,2021-03-05,,
안양시,삼막사 사적비,경기도 안양시 만안구 석수1동 241-54,,2021-03-05,,
안양시,박서 신도비,경기도 안양시 만안구 석수동 산168,,2021-03-05,,
안양시,비산동 도요지,경기도 안양시 동안구 비산동 산3-1 (서울농대 수목원내),,2021-03-05,,
안양시,평촌 지석묘,경기도 안양시 동안구 갈산동 1112,,2021-03-05,,
안양시,안양사 귀부,경기도 안양시 만안구 석수동 산 27번지,,2021-03-05,,
안양시,삼막사 삼층석탑,경기도 안양시 만안구 석수1동 241-54,,2021-03-05,,
안양시,중초사지 삼층석탑,경기도 안양시 만안구 석수동 212-1,,2021-03-05,,
안양시,삼막사 삼귀자,경기도 안양시 만안구 석수동 10-1,,2021-03-05,,
안양시,석수동 석실분,경기도 안양시 만안구 석수1동 산236-9,,2021-03-05,,
안양시,비산동 석실분,경기도 안양시 동안구 비산동 488,,2021-03-05,,
안양시,수리산 성지,경기도 안양시 만안구 안양9동 산79,,2021-03-05,,
안양시,삼막사 명부전,경기도 안양시 만안구 석수1동 241-54,,2021-03-05,,
의왕시,임영대군 묘 및 사당,"경기도 의왕시 능안아랫말길 32 (내손동, 임영대군사당)",,2021-03-05,,
고양시,행주서원지,경기도 고양시 덕양구 행주산성로 127-17,031-909-9000,2021-03-05,,
과천시,과천향교,경기도 과천시 자하동길 18,02-502-2944,2021-03-05,,
하남시,교산동 건물지,경기도 하남시 교산동 78-3 일원,031-795-1020,2021-03-05,,
하남시,광주향교,경기도 하남시 대성로 126-13,031-790-5632,2021-03-05,,
포천시,화산서원,경기도 포천시 가산면 가산로 227-40,031-543-1580,2021-03-05,,
포천시,동음사,경기도 포천시 이동면 화동로 1760,031-538-2106,2021-03-05,,
포천시,포천향교,경기도 포천시 군내면 청군로3274번길 37,031-535-3186,2021-03-05,,
파주시,파산서원,경기도 파주시 파평면 파산서원길 24-40,031-940-5831,2021-03-05,,
파주시,자운서원,경기도 파주시 법원읍 자운서원로 204,031-958-1749,2021-03-05,,
이천시,이천향교,경기도 이천시 향교로 1,031-633-0325,2021-03-05,,
의정부시,송산사지,경기도 의정부시 민락로 296,031-828-4334,2021-03-05,,
의정부시,노강서원,경기도 의정부시 동일로122번길 153,031-828-4334,2021-03-05,,
오산시,궐리사,경기도 오산시 매홀로 3,031-373-0151,2021-03-05,,
오산시,보적사,경기도 오산시 독산성로269번길 144,031-372-3433,2021-03-05,,
오산시,외삼미동 고인돌,경기도 오산시 외삼미동 384,031-8036-7604,2021-03-05,,
광명시,충현서원지,경기도 광명시 소하 2동 1084,02-898-0505,2021-03-05,,
연천군,연천향교,경기도 연천군 연천읍 지혜로117번길 20,031-839-2061,2021-03-05,,
김포시,김포향교,경기도 김포시 북변중로25번길 38,031-984-8891,2021-03-05,,
안산시,잿머리성황당,경기도 안산시 성곡동 산76,031-481-3437,2021-03-05,,
여주시,여주향교,경기도 여주시 향교1길 28,031-887-3563,2021-03-05,,
양평군,노산사지,경기도 양평군 서종면 노문리 산 69-7,031-770-2471,2021-03-05,,
양평군,지평향교,경기도 양평군 지평면 지평로 333,031-770-2474,2021-03-05,,
양주시,양주향교,경기도 양주시 부흥로 1423번길 50,031-840-4148,2021-03-05,,
안성시,양성향교,경기도 안성시 양성면 교동길 33-4,031-678-2502,2021-03-05,,
안성시,바우덕이사당,경기도 안성시 서운면 청룡길 128-29,031-677-1330,2021-03-05,,
안성시,덕봉서원,경기도 안성시 양성면 덕봉서원로 529-8,031-677-1330,2021-03-05,,
안성시,안성향교,경기도 안성시 명륜동 118,031-675-0027,2021-03-05,,
안성시,죽산향교,경기도 안성시 죽산면 죽산향교길 54-45,031-678-2502,2021-03-05,,
용인시,심곡서원,경기도 용인시 수지구 심곡로 16-9,031-324-2147,2021-03-05,,
이천시,이천설봉서원,경기도 이천시 경충대로 2709번길 276,031-632-6564,2021-03-05,,
연천군,숭의전,경기도 연천군 미산면 숭의전로 382-27,031-839-2061,2021-03-05,,
김포시,한재당,경기도 김포시 하성면 가금리 224,031-984-8892,2021-03-05,,
포천시,용연서원,경기도 포천시 신북면 신평로72번길 1-13,031-538-2069,2021-03-05,,
남양주시,홍유릉,경기도 남양주시 홍유릉로 352-1,031-591-7043,2021-03-05,,
남양주시,사릉,경기도 남양주시 진건읍 사릉로 180,031-573-8124,2021-03-05,,
남양주시,광릉,경기도 남양주시 진접읍 광릉수목원로 354,031-527-7105,2021-03-05,,
김포시,장릉,경기도 김포시 장릉로 79,031-984-2897,2021-03-05,,
화성시,융릉·건릉,경기도 화성시 안녕동 187-39,031-222-0142,2021-03-05,,
화성시,용주사,경기도 화성시 용주로 136,031-234-0040,2021-03-05,,
파주시,파주삼릉,경기도 파주시 조리읍 삼릉로 89,031-941-4208,2021-03-05,,
여주시,세종대왕릉[유네스코세계문화유산],경기도 여주시 능서면 영릉로 269-50,031-885-3123,2021-03-05,,
여주시,효종대왕릉,경기도 여주시 능서면 영릉로 26-50,031-885-3123,2021-03-05,,
구리시,동구릉,경기도 구리시 동구릉로 197,031-563-2909,2021-03-05,,
고양시,서오릉,경기도 고양시 덕양구 서오릉로 334-92,02-359-0090,2021-03-05,,
고양시,서삼릉,경기도 고양시 덕양구 서삼릉길 233-126,031-962-6009,2021-03-05,,
안산시,한응인 묘역,경기도 안산시 사사동 산86-6,031-481-3437,2021-03-05,,
안산시,안탄대 선생 묘,경기도 안산시 성곡동 615-1,031-481-3437,2021-03-05,,
수원시,심온선생묘,경기도 수원시 영통구 이의동 산13-10,031-228-2476,2021-03-05,,
용인시,정몽주선생묘,경기도 용인시 처인구 모현읍 능곡로 45 영일정씨제각,031-324-2147,2021-03-05,,
