시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
과천시,경기도 삼남길,경기도 과천시 중앙동 56,,2021-03-05,,
양주시,장흥관광지,경기도 양주시 장흥면 권율로 193,031-828-9727,2021-03-05,,
의정부시,원도봉산,경기도 의정부시 망월로28번길 51-97,031-828-4572,2021-03-05,,
가평군,호명산,경기도 가평군 청평면 호명리,031-580-2481,2021-03-05,,
가평군,화악산,경기도 가평군 북면 화악리,,2021-03-05,,
양평군,화야산,경기도 양평군 서종면 노문리,031-770-3181,2021-03-05,,
가평군,수덕산,경기도 가평군 북면 가화로 1434,031-580-2481,2021-03-05,,
포천시,청계산,경기도 포천시 일동면 기산리,02-3677-2343,2021-03-05,,
광주시,관산,경기도 광주시 퇴촌면,031-760-4774,2021-03-05,,
광주시,백마산,경기도 광주시 초월읍 도곡길 132-27,031-760-4774,2021-03-05,,
고양시,정발산,경기도 고양시 일산동구 가인길 58,,2021-03-05,,
고양시,고봉산,경기도 고양시 일산동구 성석로 103,031-8075-2714,2021-03-05,,
구리시,아차산,경기도 구리시 아천동,02-450-1395,2021-03-05,,
광주시,무갑산,경기도 광주시 초월읍 퇴촌면,031-760-2468,2021-03-05,,
고양시,현달산(견달산),경기도 고양시 일산동구 식사동 산39-3,,2021-03-05,,
군포시,수리산산림욕장,경기도 군포시 산본동 산18-3외 39필지,031-387-7111,2021-03-05,,
고양시,덕양산,경기도 고양시 덕양구 성사동 산60-34,031-961-2580,2021-03-05,,
고양시,노고산,경기도 고양시 덕양구 효자동,,2021-03-05,,
양평군,백운봉,경기도 양평군 용문면 연수리1,031-770-2341,2021-03-05,,
양평군,중원산,경기도 양평군 용문면,031-770-3311,2021-03-05,,
여주시,양자산,경기도 여주시 산북면 하품리 651-3,031-770-2341,2021-03-05,,
의정부시,부용산,경기도 의정부시 고산동 산57-1,031-828-4642,2021-03-05,,
양주시,오봉산,경기도 양주시 장흥면 일대,,2021-03-05,,
안성시,칠장산,경기도 안성시 죽산면,,2021-03-05,,
남양주시,예봉산,경기도 남양주시 와부읍 조안면,,2021-03-05,,
파주시,월롱산,경기도 파주시 월롱면 용상골길 403,031-940-4612,2021-03-05,,
의왕시,모락산,경기도 의왕시 오전동,031-345-3522,2021-03-05,,
파주시,학령산,경기도 파주시 앞골길 143-45,031-940-4612,2021-03-05,,
평택시,부락산,경기도 평택시 경기도대로1376번길 38-29,031-664-9211,2021-03-05,,
파주시,보현산,경기도 파주시 탄현면 헤이리로 381-2,031-940-4612,2021-03-05,,
안양시,삼성산,경기도 안양시 만안구 석수동,031-8045-2419,2021-03-05,,
파주시,고령산,경기도 파주시 광탄면 보광로 474번길 87,031-940-4612,2021-03-05,,
양평군,고동산,경기도 양평군 서종면,031-770-3161,2021-03-05,,
파주시,삼봉산,경기도 파주시 법원읍 초리골길 278,031-940-4612,2021-03-05,,
파주시,봉서산,경기도 파주시 파주읍 통일로 1586-24,031-940-4612,2021-03-05,,
동두천시,칠봉산,경기도 동두천시 송내동,031-860-2471,2021-03-05,,
남양주시,불암산,경기도 남양주시 별내면 화접리,02-950-3395,2021-03-05,,
파주시,박달산,경기도 파주시 광탄면 장지산로 200번길,031-940-4612,2021-03-05,,
파주시,파평산,경기도 파주시 파평면 청송로 610번길 11,031-940-4612,2021-03-05,,
연천군,고대산,경기도 연천군 신서면 평화로 3282-108,031-839-2061,2021-03-05,,
동두천시,마차산,경기도 동두천시 안흥동,031-860-2416,2021-03-05,,
파주시,심학산,경기도 파주시 교하로 493-2,031-940-4612,2021-03-05,,
포천시,백운산,경기도 포천시 이동면 포화로 236-73,031-538-3341,2021-03-05,,
하남시,검단산,경기도 하남시 신장동,031-790-6341,2021-03-05,,
포천시,왕방산,경기도 포천시 신북면 심곡리 784,031-533-3341,2021-03-05,,
파주시,초리골 등산로,경기도 파주시 법원읍 초리골길 236,031-940-4631,2021-03-05,,
포천시,국망봉,경기도 포천시 이동면 장암리 74,031-538-3341,2021-03-05,,
수원시,칠보산,경기도 수원시 권선구 금호동 온정로91번길 445-30,,2021-03-05,,
양주시,불곡산,경기도 양주시 유양동,031-820-2646,2021-03-05,,
동두천시,소요산,경기도 동두천시 평화로 2910번길 145,031-860-2065,2021-03-05,,
시흥시,군자봉,경기도 시흥시 군자동,031-310-2342,2021-03-05,,
양주시,천보산,경기도 양주시 광사동,,2021-03-05,,
남양주시,철마산,경기도 남양주시 진접읍,031-590-2474,2021-03-05,,
남양주시,운길산,경기도 남양주시 조안면 북한강로433번길 186,031-590-2344,2021-03-05,,
군포시,수리산,경기도 군포시 속달동,031-387-7111,2021-03-05,,
광주시,앵자봉,경기도 광주시 퇴촌면 우산리,031-760-2468,2021-03-05,,
파주시,교하동고인돌산림욕장,경기도 파주시 당하2길 176,031-940-4612,2021-03-05,,
김포시,문수산산림욕장,경기도 김포시 월곶면 문수산로 102-38,031-980-2371,2021-03-05,,
수원시,광교산,경기도 수원시 장안구 상·하광교동,031-324-8373,2021-03-05,,
가평군,석룡산,경기도 가평군 북면 가화로 2745-70,042-481-4150,2021-03-05,,
파주시,명학산,경기도 파주시 파주읍 용지안길 137,031-940-4612,2021-03-05,,
화성시,궁평항,경기도 화성시 서신면 궁평항로 1069-11,031-356-7339,2021-03-05,,
화성시,매향리,경기도 화성시 우정읍 매향리,,2021-03-05,,
가평군,통방산,경기도 가평군 설악면 천안리 545,031-580-2482,2021-03-05,,
수원시,광교저수지,경기도 수원시 장안구 하광교동,,2021-03-05,,
수원시,광교호수공원,경기도 수원시 영통구 광교호수공원로 102,031-228-4197,2021-03-05,,
화성시,전곡항,경기도 화성시 서신면 전곡항로 5,031-1577-4200,2021-03-05,,
시흥시,월곶포구,경기도 시흥시 월곶동 820-4,031-318-4409,2021-03-05,,
김포시,전류리포구,경기도 김포시 하성면 금포로 1928,031-981-4115,2021-03-05,,
김포시,대명포구,경기도 김포시 대곶면 대명리,031-987-2983,2021-03-05,,
안성시,안성낙원역사공원,경기도 안성시 장기로91번길 22,031-678-2744,2021-03-05,,
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021-03-05,,
부천시,상동호수공원,경기도 부천시 원미구 조마루로 15,032-320-3000,2021-03-05,,
광명시,안터생태공원,경기도 광명시 안재로 1번길 27,02-2619-1050,2021-03-05,,
성남시,분당중앙공원,경기도 성남시 분당구 성남대로 550,031-729-4907,2021-03-05,,
시흥시,연꽃테마파크,경기도 시흥시 관곡지로 139,031-310-6222,2021-03-05,,
성남시,황새울공원,경기도 성남시 분당구 서현동 분당구청 뒷 편,031-729-4384,2021-03-05,,
양평군,봉미산,경기도 양평군 단월면 산음리,031-770-3191,2021-03-05,,
양평군,대부산,경기도 양평군 옥천면 신복리,031-770-3131,2021-03-05,,
이천시,천덕봉,경기도 이천시 백사면 원적로617번길,031-645-3839,2021-03-05,,
이천시,임오산,경기도 이천시 율면 임오산로 296,,2021-03-05,,
남양주시,용암산,경기도 남양주시 별내면 용암리,031-828-4572,2021-03-05,,
남양주시,천마산,경기도 남양주시 화도읍,031-590-2733,2021-03-05,,
이천시,효양산,경기도 이천시 부발읍 마암리 산25,,2021-03-05,,
양평군,도일봉,경기도 양평군 용문면 중원리,031-770-3311,2021-03-05,,
안성시,고성산,경기도 안성시 원곡면 칠곡리,031-677-1330,2021-03-05,,
이천시,원적산,경기도 이천시 백사면 경사리 427-1,,2021-03-05,,
이천시,양각산,경기도 이천시 신둔면 고척리 505-12,,2021-03-05,,
안성시,마이산,경기도 안성시 일죽면,031-678-2563,2021-03-05,,
안성시,서운산,경기도 안성시 서운면 청룡리,031-678-2563,2021-03-05,,
안성시,칠현산,"경기도 안성시 죽산면, 금광면",031-677-1330,2021-03-05,,
남양주시,수락산,경기도 남양주시 별내면 청학리 551-2,031-828-2342,2021-03-05,,
안성시,비봉산,경기도 안성시 보개면,031-678-2563,2021-03-05,,
양평군,함왕봉,경기도 양평군 옥천면 용천리 산 27,031-773-5101,2021-03-05,,
양평군,추읍산,경기도 양평군 용문면 삼성리,031-770-3341,2021-03-05,,
양평군,고래산,경기도 양평군 지평면 대평리,031-770-3281,2021-03-05,,
양평군,삼각산,경기도 양평군 양동면,031-773-0088,2021-03-05,,
양평군,어비산,경기도 양평군 옥천면,031-770-3131,2021-03-05,,
양평군,소리산,경기도 양평군 단월면 석산리1,031-770-3191,2021-03-05,,
이천시,해룡산,경기도 이천시 고담동 산44-2,,2021-03-05,,
이천시,정개산,경기도 이천시 신둔면 지석리 산35-5,,2021-03-05,,
이천시,설봉산,경기도 이천시 관고동 산67-3,031-645-3839,2021-03-05,,
이천시,도드람산(저명산),경기도 이천시 마장면 목리,031-644-2636,2021-03-05,,
이천시,마국산,경기도 이천시 모가면 산내리 산65,,2021-03-05,,
이천시,노성산,경기도 이천시 설성면 수산리 산 65-1,,2021-03-05,,
포천시,수원산,경기도 포천시 군내면 청군로2985번길 18,031-538-3341,2021-03-05,,
포천시,주금산,경기도 포천시 내촌면 능곡청정길 50,031-538-2340,2021-03-05,,
가평군,축령산,경기도 가평군 상면,031-592-0681,2021-03-05,,
남양주시,문안산,경기도 남양주시 화도읍 금남리,031-592-4900,2021-03-05,,
남양주시,서리산,경기도 남양주시 수동면,,2021-03-05,,
화성시,건달산,경기도 화성시 팔탄면 기천리 산77-1,,2021-03-05,,
화성시,쌍봉산,경기도 화성시 우정읍 조암리,,2021-03-05,,
화성시,서봉산,경기도 화성시 향남읍 향봉로10번길 4,031-352-6678,2021-03-05,,
광주시,태화산,경기도 광주시 도척면 추곡리 169-2,031-760-4873,2021-03-05,,
가평군,대금산,경기도 가평군 가평읍 두밀리,031-580-2482,2021-03-05,,
과천시,관악산,경기도 과천시 중앙동,02-3677-2343,2021-03-05,,
안양시,관악산산림욕장,경기도 안양시 동안구 평촌대로476번길 30-2,031-8045-2419,2021-03-05,,
오산시,독산성산림욕장,경기도 오산시 지곶동,031-8036-8036,2021-03-05,,
안양시,삼성산산림욕장,경기도 안양시 만안구 예술공원로131번길 49,031-8045-3511,2021-03-05,,
안양시,병목안산림욕장석탑,경기도 안양시 만안구 안양9동 산 79-3,031-8045-5591,2021-03-05,,
화성시,초록산산림욕장,경기도 화성시 양감면 사창리 810-1,031-369-2344,2021-03-05,,
가평군,계관산,경기도 가평군 가평읍 개곡리,,2021-03-05,,
김포시,문수산,경기도 김포시 월곶면 문수산로 102-38,031-980-5986,2021-03-05,,
가평군,귀목봉,경기도 가평군 북면 적목리,031-580-2114,2021-03-05,,
군포시,덕고개당숲,경기도 군포시 속달동,,2021-03-05,,
고양시,북한산,경기도 고양시 덕양구 대서문안길,02-909-0497,2021-03-05,,
광명시,구름산,경기도 광명시 하안동 141-7번지 일대,02-2680-2339,2021-03-05,,
광명시,도덕산,경기도 광명시 광명동 산75번지 일대,02-2680-2339,2021-03-05,,
김포시,가현산,경기도 김포시 양촌읍 구래리 산94번지,031-980-5986,2021-03-05,,
의정부시,사패산,경기도 의정부시 망월로28번길 164-100,031-828-2343,2021-03-05,,
파주시,감악산,경기도 파주시 적성면 감골길 48,031-940-4612,2021-03-05,,
부천시,부천중앙공원,경기도 부천시 원미구 소향로 162,032-625-3496,2021-03-05,,
포천시,비둘기낭폭포,경기도 포천시 영북면 대회산리 415-2,031-538-2312,2021-03-05,,
가평군,가평용추계곡,경기도 가평군 가평읍 용추로 508-7,031-582-9068,2021-03-05,,
가평군,무주채폭포,경기도 가평군 북면 적목리 산1-1,031-582-8830,2021-03-05,,
가평군,용소폭포,경기도 가평군 북면 적목리 산4,031-582-8830,2021-03-05,,
가평군,가평용추폭포,경기도 가평군 가평읍 승안리,031-582-0088,2021-03-05,,
가평군,명지계곡,경기도 가평군 북면 적목리 산45,,2021-03-05,,
가평군,어비계곡,경기도 가평군 설악면 가일리,031-580-2114,2021-03-05,,
양주시,가래비빙벽장,경기도 양주시 광적면 가납리 산5,,2021-03-05,,
가평군,익근리계곡,경기도 가평군 북면 도대리 708,,2021-03-05,,
포천시,무지개폭포,경기도 포천시 화현면 화현리,,2021-03-05,,
가평군,수락폭포,경기도 가평군 가평읍 경반리,,2021-03-05,,
가평군,운악계곡,경기도 가평군 하면 운악청계로589번길,,2021-03-05,,
가평군,화야큰골,경기도 가평군 청평면 삼회리 202-3,,2021-03-05,,
가평군,임산계곡,경기도 가평군 북면 논남기길 520,,2021-03-05,,
가평군,가평용추폭포,경기도 가평군 가평읍 승안리,031-582-0088,2021-03-05,,
가평군,장재울계곡,경기도 가평군 하면 상판리,,2021-03-05,,
동두천시,쇠목계곡,경기도 동두천시 광암동,031-860-2250,2021-03-05,,
양평군,상촌계곡,경기도 양평군 강상면 대석리,031-770-3045,2021-03-05,,
포천시,백운계곡,경기도 포천시 이동면 포화로 236-24,031-538-3028,2021-03-05,,
포천시,지장산계곡,경기도 포천시 관인면 중리 산251-1,031-538-4652,2021-03-05,,
양평군,세월계곡,경기도 양평군 강상면 세월리,,2021-03-05,,
동두천시,장림계곡,경기도 동두천시 불현동 885-3,031-860-2250,2021-03-05,,
동두천시,왕방계곡,경기도 동두천시 탑동,031-860-2250,2021-03-05,,
과천시,청계산계곡,경기도 과천시 막계동,,2021-03-05,,
양평군,상원사계곡,경기도 양평군 용문면 연수리,031-773-5101,2021-03-05,,
포천시,한탄강대교천현무암협곡,경기도 포천시 관인면 냉정리 1101,031-538-3129,2021-03-05,,
연천군,재인폭포,경기도 연천군 연천읍 부곡리,031-839-2289,2021-03-05,,
파주시,설마계곡,경기도 파주시 적성면 설마천로 144,031-940-4612,2021-03-05,,
가평군,백년폭포,경기도 가평군 하면 하판리,,2021-03-05,,
가평군,귀목계곡,경기도 가평군 북면 제령리,,2021-03-05,,
가평군,조무락계곡,경기도 가평군 북면 적목리 65,031-582-8830,2021-03-05,,
가평군,복호동폭포,경기도 가평군 북면 적목리 640,,2021-03-05,,
남양주시,피아노폭포,경기도 남양주시 화도읍 폭포로 562,031-590-8224,2021-03-05,,
포천시,선유담계곡,경기도 포천시 이동면 포화로 123,031-538-3363,2021-03-05,,
연천군,열두개울,경기도 연천군 청산면 청신로 345,031-839-2061,2021-03-05,,
파주시,운계폭포,경기도 파주시 적성면 감골길 48,031-940-4611,2021-03-05,,
양평군,벽계구곡,경기도 양평군 서종면 노문리,031-770-3161,2021-03-05,,
가평군,무우폭포,경기도 가평군 하면 하판리,,2021-03-05,,
남양주시,비금계곡,경기도 남양주시 수동면 내방리,031-592-0088,2021-03-05,,
양평군,사나사계곡,경기도 양평군 옥천면 용천리,031-770-3132,2021-03-05,,
양평군,명달리계곡,경기도 양평군 서종면 명달리,031-770-3164,2021-03-05,,
광주시,남한산계곡,경기도 광주시 중부면 광지원리,031-760-2692,2021-03-05,,
연천군,동막계곡,경기도 연천군 연천읍 동막리 162-1,031-834-2061,2021-03-05,,
양평군,석산계곡,경기도 양평군 단월면 석산리 230-5,031-773-5101,2021-03-05,,
양주시,송추계곡,경기도 양주시 장흥면 울대리,,2021-03-05,,
동두천시,탑동계곡,경기도 동두천시 탑동동,031-860-2250,2021-03-05,,
양평군,중원계곡,경기도 양평군 용문면 중원리706,031-770-1001,2021-03-05,,
포천시,포천아트밸리,경기도 포천시 신북면 아트밸리로 234,031-538-3483,2021-03-05,,
포천시,직두리부부송,경기도 포천시 청군로2985번길 180,031-538-2106,2021-03-05,,
군포시,철쭉동산,경기도 군포시 산본동 1152-10,031-390-0341,2021-03-05,,
이천시,설봉산삼형제바위,경기도 이천시 관고동 산66-1,031-645-3839,2021-03-05,,
파주시,임꺽정굴,경기도 파주시 적성면 설마천로 감악산 임꺽정굴,031-940-4612,2021-03-05,,
수원시,인계예술공원,경기도 수원시 팔달구 동수원로 335,031-228-4190,2021-03-05,,
시흥시,시흥갯골생태공원,경기도 시흥시 동서로 287,031-488-6900,2021-03-05,,
수원시,만석공원,경기도 수원시 장안구 송죽동 434,031-228-4509,2021-03-05,,
수원시,효원공원,경기도 수원시 팔달구 동수원로 399,031-228-4192,2021-03-05,,
수원시,월화원,경기도 수원시 팔달구 동수원로 399,031-228-4184,2021-03-05,,
안산시,대부해솔길,경기도 안산시 단원구 대부도일대,031-1899-1720,2021-03-05,,
안산시,탄도 바닷길,경기도 안산시 단원구 대부황금로 7,032-885-3745,2021-03-05,,
안산시,안산갈대습지공원,경기도 안산시 상록구 해안로 820-96,031-481-3810,2021-03-05,,
양평군,지평레포츠공원,경기도 양평군 지평면 지평리 582-2,031-770-3281,2021-03-05,,
양평군,양동레포츠공원,경기도 양평군 양동면 원양2로 832,031-770-3251,2021-03-05,,
양평군,옥천레포츠공원,경기도 양평군 옥천면 옥천체육공원길 40,,2021-03-05,,
양평군,개군레포츠공원,경기도 양평군 개군면 자진개1길 84,031-770-3341,2021-03-05,,
양평군,청운레포츠공원,경기도 양평군 청운면 체육공원길 52,,2021-03-05,,
양평군,물안개공원,경기도 양평군 양평읍 양근로 31,,2021-03-05,,
양평군,강하체육공원,경기도 양평군 강하면 운심길 77,031-770-3073,2021-03-05,,
시흥시,옥구공원,경기도 시흥시 오이도로 58,031-310-3963,2021-03-05,,
양평군,용문산관광단지,경기도 양평군 용문면 신점리 526-2,031-773-0088,2021-03-05,,
가평군,호명호수,경기도 가평군 청평명 호명리 5,031-580-2062,2021-03-05,,
안성시,안성맞춤가족공원,경기도 안성시 공도읍 대림동산길 36,031-678-2667,2021-03-05,,
과천시,문원체육공원,경기도 과천시 문원로 56,02-3677-2362,2021-03-05,,
과천시,관문체육공원,경기도 과천시 중앙로 294,02-500-1411,2021-03-05,,
안성시,솔밭공원,경기도 안성시 안성맞춤대로 1143,,2021-03-05,,
과천시,에어드리공원,경기도 과천시 중앙로 24,02-3677-2362,2021-03-05,,
과천시,중앙공원,경기도 과천시 별양동 2-6,02-3677-2362,2021-03-05,,
김포시,태산패밀리파크,경기도 김포시 하성면 하성로 585,031-997-6868,2021-03-05,,
김포시,김포국제조각공원,경기도 김포시 월곶면 용강로13번길 38,031-980-2980,2021-03-05,,
김포시,걸포중앙공원,경기도 김포시 걸포1로 60-42,031-980-5631,2021-03-05,,
안산시,시화나래조력공원,경기도 안산시 단원구 대부황금로 1927,032-890-6520,2021-03-05,,
구리시,구리한강시민공원,경기도 구리시 왕숙천로 49,031-550-2107,2021-03-05,,
파주시,출판단지 생태공원,경기도 파주시 회동길 145,031-940-4631,2021-03-05,,
구리시,장자호수공원,경기도 구리시 토평동 878,031-550-2472,2021-03-05,,
구리시,인창중앙공원,경기도 구리시 인창동 309-43번지,031-550-2418,2021-03-05,,
화성시,궁평노송지대,경기도 화성시 서신면 궁평리 534-3,,2021-03-05,,
오산시,오산생태하천,경기도 오산시 신장동,,2021-03-05,,
화성시,동탄센트럴파크,경기도 화성시 동탄공원로3길 36,,2021-03-05,,
화성시,비봉습지공원,경기도 화성시 비봉면 유포리 619,031-369-6231,2021-03-05,,
평택시,팽성레포츠공원,경기도 평택시 팽성읍 안정로 238-31,031-8024-5625,2021-03-05,,
고양시,고양생태공원,경기도 고양시 일산서구 대화로 315,031-924-7341,2021-03-05,,
부천시,부천백만송이장미원,경기도 부천시 성곡로63번길 99 도당공원,032-320-3000,2021-03-05,,
성남시,책테마파크,경기도 성남시 분당구 문정로 145,031-708-3588,2021-03-05,,
성남시,율동공원,경기도 성남시 분당구 문정로 145,031-702-8713,2021-03-05,,
성남시,황송공원,경기도 성남시 중원구 금광1동 산9,031-729-4788,2021-03-05,,
안양시,안양예술공원,경기도 안양시 만안구 석수동 산21,031-8045-2473,2021-03-05,,
고양시,일산호수공원,경기도 고양시 일산동구 호수로 595,031-906-4557,2021-03-05,,
성남시,희망대공원,경기도 성남시 수정구 수정로306번길 45-1,031-729-4786,2021-03-05,,
과천시,렛츠런파크서울,경기도 과천시 경마공원대로 107,031-1566-3333,2021-03-05,,
포천시,프로방스빌리지(전 광릉분재예술공원),경기도 포천시 소흘읍 죽엽산로631번길 48,02-6956-6936,2021-03-05,,
의왕시,의왕자연학습공원,경기도 의왕시 왕송못동로 307,031-345-3533,2021-03-05,,
파주시,임진강 폭포어장,경기도 파주시 파평면 청송로 550,031-959-2222,2021-03-05,,
이천시,설봉공원,경기도 이천시 관고동 418-2,031-644-2645,2021-03-05,,
양주시,국립아세안자연휴양림,경기도 양주시 백석읍 기산로 472,031-871-2796,2021-03-05,,
양주시,나리농원,경기도 양주시 광사로 131-66,031-8082-7225,2021-03-05,,
평택시,진위천시민유원지불빛정원,경기도 평택시 진위면 진위서로 264-15,031-665-6231,2021-03-05,,
파주시,퍼스트가든,경기도 파주시 탑삭골길 260,031-957-6861,2021-03-05,,
파주시,마장호수출렁다리,경기도 파주시 광탄면 기산로 365,031-943-3928,2021-03-05,,
